alpha,algorithm,cache_size,miss_ratio,hit_ratio
0.6,fifo,100,0.9603,.0397
0.6,fifo,500,0.8643,.1357
0.6,fifo,1000,0.7797,.2203
0.6,lru,100,0.9567,.0433
0.6,lru,500,0.8488,.1512
0.6,lru,1000,0.7565,.2435
0.6,clock,100,0.9537,.0463
0.6,clock,500,0.8410,.1590
0.6,clock,1000,0.7466,.2534
0.6,sieve,100,0.8776,.1224
0.6,sieve,500,0.7450,.2550
0.6,sieve,1000,0.6502,.3498
0.6,ghostsieve,100,0.8869,.1131
0.6,ghostsieve,500,0.7651,.2349
0.6,ghostsieve,1000,0.6802,.3198
0.7,fifo,100,0.9262,.0738
0.7,fifo,500,0.7983,.2017
0.7,fifo,1000,0.7040,.2960
0.7,lru,100,0.9156,.0844
0.7,lru,500,0.7718,.2282
0.7,lru,1000,0.6697,.3303
0.7,clock,100,0.9088,.0912
0.7,clock,500,0.7608,.2392
0.7,clock,1000,0.6577,.3423
0.7,sieve,100,0.8100,.1900
0.7,sieve,500,0.6514,.3486
0.7,sieve,1000,0.5626,.4374
0.7,ghostsieve,100,0.8209,.1791
0.7,ghostsieve,500,0.6764,.3236
0.7,ghostsieve,1000,0.5878,.4122
0.8,fifo,100,0.8663,.1337
0.8,fifo,500,0.7063,.2937
0.8,fifo,1000,0.6063,.3937
0.8,lru,100,0.8434,.1566
0.8,lru,500,0.6690,.3310
0.8,lru,1000,0.5638,.4362
0.8,clock,100,0.8332,.1668
0.8,clock,500,0.6562,.3438
0.8,clock,1000,0.5508,.4492
0.8,sieve,100,0.7218,.2782
0.8,sieve,500,0.5461,.4539
0.8,sieve,1000,0.4597,.5403
0.8,ghostsieve,100,0.7337,.2663
0.8,ghostsieve,500,0.5719,.4281
0.8,ghostsieve,1000,0.4837,.5163
0.9,fifo,100,0.7748,.2252
0.9,fifo,500,0.5897,.4103
0.9,fifo,1000,0.4900,.5100
0.9,lru,100,0.7384,.2616
0.9,lru,500,0.5448,.4552
0.9,lru,1000,0.4440,.5560
0.9,clock,100,0.7255,.2745
0.9,clock,500,0.5318,.4682
0.9,clock,1000,0.4316,.5684
0.9,sieve,100,0.6099,.3901
0.9,sieve,500,0.4326,.5674
0.9,sieve,1000,0.3526,.6474
0.9,ghostsieve,100,0.6238,.3762
0.9,ghostsieve,500,0.4555,.5445
0.9,ghostsieve,1000,0.3738,.6262
1.0,fifo,100,0.4802,.5198
1.0,fifo,500,0.1679,.8321
1.0,fifo,1000,0.0010,.9990
1.0,lru,100,0.4247,.5753
1.0,lru,500,0.1330,.8670
1.0,lru,1000,0.0010,.9990
1.0,clock,100,0.4111,.5889
1.0,clock,500,0.1287,.8713
1.0,clock,1000,0.0010,.9990
1.0,sieve,100,0.3288,.6712
1.0,sieve,500,0.1053,.8947
1.0,sieve,1000,0.0010,.9990
1.0,ghostsieve,100,0.3541,.6459
1.0,ghostsieve,500,0.1316,.8684
1.0,ghostsieve,1000,0.0010,.9990
1.1,fifo,100,0.5247,.4753
1.1,fifo,500,0.3347,.6653
1.1,fifo,1000,0.2576,.7424
1.1,lru,100,0.4714,.5286
1.1,lru,500,0.2908,.7092
1.1,lru,1000,0.2195,.7805
1.1,clock,100,0.4579,.5421
1.1,clock,500,0.2811,.7189
1.1,clock,1000,0.2118,.7882
1.1,sieve,100,0.3675,.6325
1.1,sieve,500,0.2218,.7782
1.1,sieve,1000,0.1704,.8296
1.1,ghostsieve,100,0.3804,.6196
1.1,ghostsieve,500,0.2350,.7650
1.1,ghostsieve,1000,0.1808,.8192
1.2,fifo,100,0.3962,.6038
1.2,fifo,500,0.2277,.7723
1.2,fifo,1000,0.1680,.8320
1.2,lru,100,0.3435,.6565
1.2,lru,500,0.1915,.8085
1.2,lru,1000,0.1385,.8615
1.2,clock,100,0.3323,.6677
1.2,clock,500,0.1843,.8157
1.2,clock,1000,0.1330,.8670
1.2,sieve,100,0.2620,.7380
1.2,sieve,500,0.1445,.8555
1.2,sieve,1000,0.1066,.8934
1.2,ghostsieve,100,0.2733,.7267
1.2,ghostsieve,500,0.1532,.8468
1.2,ghostsieve,1000,0.1130,.8870
1.3,fifo,100,0.2848,.7152
1.3,fifo,500,0.1464,.8536
1.3,fifo,1000,0.1037,.8963
1.3,lru,100,0.2379,.7621
1.3,lru,500,0.1191,.8809
1.3,lru,1000,0.0829,.9171
1.3,clock,100,0.2288,.7712
1.3,clock,500,0.1143,.8857
1.3,clock,1000,0.0795,.9205
1.3,sieve,100,0.1795,.8205
1.3,sieve,500,0.0885,.9115
1.3,sieve,1000,0.0636,.9364
1.3,ghostsieve,100,0.1872,.8128
1.3,ghostsieve,500,0.0948,.9052
1.3,ghostsieve,1000,0.0673,.9327
1.4,fifo,100,0.1979,.8021
1.4,fifo,500,0.0903,.9097
1.4,fifo,1000,0.0608,.9392
1.4,lru,100,0.1593,.8407
1.4,lru,500,0.0710,.9290
1.4,lru,1000,0.0470,.9530
1.4,clock,100,0.1527,.8473
1.4,clock,500,0.0679,.9321
1.4,clock,1000,0.0450,.9550
1.4,sieve,100,0.1162,.8838
1.4,sieve,500,0.0529,.9471
1.4,sieve,1000,0.0365,.9635
1.4,ghostsieve,100,0.1244,.8756
1.4,ghostsieve,500,0.0565,.9435
1.4,ghostsieve,1000,0.0384,.9616
