trace_name,algorithm,cache_size,miss_ratio,hit_ratio
zipf_0.8,fifo,50,0.883700,0.116300
zipf_0.8,fifo,100,0.825800,0.174200
zipf_0.8,fifo,250,0.723400,0.276600
zipf_0.8,fifo,500,0.620900,0.379100
zipf_0.8,fifo,1000,0.489900,0.510100
zipf_0.8,lru,50,0.864100,0.135900
zipf_0.8,lru,100,0.797600,0.202400
zipf_0.8,lru,250,0.685500,0.314500
zipf_0.8,lru,500,0.577400,0.422600
zipf_0.8,lru,1000,0.443900,0.556100
zipf_0.8,clock,50,0.853800,0.146200
zipf_0.8,clock,100,0.785800,0.214200
zipf_0.8,clock,250,0.672400,0.327600
zipf_0.8,clock,500,0.564400,0.435600
zipf_0.8,clock,1000,0.432000,0.568000
zipf_0.8,sieve,50,0.740900,0.259100
zipf_0.8,sieve,100,0.669800,0.330200
zipf_0.8,sieve,250,0.561200,0.438800
zipf_0.8,sieve,500,0.465400,0.534600
zipf_0.8,sieve,1000,0.355900,0.644100
zipf_0.8,ghostsieve,50,0.753100,0.246900
zipf_0.8,ghostsieve,100,0.687500,0.312500
zipf_0.8,ghostsieve,250,0.586200,0.413800
zipf_0.8,ghostsieve,500,0.495900,0.504100
zipf_0.8,ghostsieve,1000,0.390800,0.609200
zipf_1.0,fifo,50,0.703100,0.296900
zipf_1.0,fifo,100,0.616800,0.383200
zipf_1.0,fifo,250,0.494300,0.505700
zipf_1.0,fifo,500,0.396400,0.603600
zipf_1.0,fifo,1000,0.291400,0.708600
zipf_1.0,lru,50,0.655300,0.344700
zipf_1.0,lru,100,0.566700,0.433300
zipf_1.0,lru,250,0.444100,0.555900
zipf_1.0,lru,500,0.348500,0.651500
zipf_1.0,lru,1000,0.248600,0.751400
zipf_1.0,clock,50,0.640500,0.359500
zipf_1.0,clock,100,0.552500,0.447500
zipf_1.0,clock,250,0.431300,0.568700
zipf_1.0,clock,500,0.337400,0.662600
zipf_1.0,clock,1000,0.240200,0.759800
zipf_1.0,sieve,50,0.528600,0.471400
zipf_1.0,sieve,100,0.447500,0.552500
zipf_1.0,sieve,250,0.345600,0.654400
zipf_1.0,sieve,500,0.270000,0.730000
zipf_1.0,sieve,1000,0.191600,0.808400
zipf_1.0,ghostsieve,50,0.542100,0.457900
zipf_1.0,ghostsieve,100,0.465100,0.534900
zipf_1.0,ghostsieve,250,0.364600,0.635400
zipf_1.0,ghostsieve,500,0.289200,0.710800
zipf_1.0,ghostsieve,1000,0.213500,0.786500
zipf_1.2,fifo,50,0.463800,0.536200
zipf_1.2,fifo,100,0.374000,0.626000
zipf_1.2,fifo,250,0.268600,0.731400
zipf_1.2,fifo,500,0.198400,0.801600
zipf_1.2,fifo,1000,0.135400,0.864600
zipf_1.2,lru,50,0.405200,0.594800
zipf_1.2,lru,100,0.321900,0.678100
zipf_1.2,lru,250,0.226100,0.773900
zipf_1.2,lru,500,0.163700,0.836300
zipf_1.2,lru,1000,0.108500,0.891500
zipf_1.2,clock,50,0.392000,0.608000
zipf_1.2,clock,100,0.310800,0.689200
zipf_1.2,clock,250,0.217900,0.782100
zipf_1.2,clock,500,0.157200,0.842800
zipf_1.2,clock,1000,0.104200,0.895800
zipf_1.2,sieve,50,0.311600,0.688400
zipf_1.2,sieve,100,0.243900,0.756100
zipf_1.2,sieve,250,0.169600,0.830400
zipf_1.2,sieve,500,0.123200,0.876800
zipf_1.2,sieve,1000,0.083000,0.917000
zipf_1.2,ghostsieve,50,0.324400,0.675600
zipf_1.2,ghostsieve,100,0.256500,0.743500
zipf_1.2,ghostsieve,250,0.181100,0.818900
zipf_1.2,ghostsieve,500,0.133500,0.866500
zipf_1.2,ghostsieve,1000,0.092200,0.907800
